연도,분기,업종,매출건수,매출액
2019,1,양식음식점,6822434,246087350507
2019,1,일식음식점,5166867,180919534488
2019,1,중식음식점,4637691,148287108373
2019,1,패스트푸드점,11972414,116586645130
2019,1,한식음식점,68513350,2199457495890
2019,2,양식음식점,7343727,253347912150
2019,2,일식음식점,5582450,189010343011
2019,2,중식음식점,5107978,155270731474
2019,2,패스트푸드점,13150439,121951601126
2019,2,한식음식점,75268177,2327468317437
2019,3,양식음식점,7865652,271853418699
2019,3,일식음식점,5350465,179127324961
2019,3,중식음식점,5353085,160145769539
2019,3,패스트푸드점,13941662,127468563605
2019,3,한식음식점,76272817,2350905476419
2019,4,양식음식점,8260852,304811954980
2019,4,일식음식점,5716643,208220300899
2019,4,중식음식점,5773709,177913716749
2019,4,패스트푸드점,13619500,128697279757
2019,4,한식음식점,83194930,2692261793597
2020,1,양식음식점,6470611,232395403654
2020,1,일식음식점,4952062,171918734159
2020,1,중식음식점,4690664,135464992456
2020,1,패스트푸드점,11113030,109078945420
2020,1,한식음식점,70507322,2184709365851
2020,2,양식음식점,6392104,233638318815
2020,2,일식음식점,5348111,191342209944
2020,2,중식음식점,4911247,142862950165
2020,2,패스트푸드점,11240540,109498258401
2020,2,한식음식점,75508832,2330649896733
2020,3,양식음식점,6442632,237459961953
2020,3,일식음식점,5288393,189780767211
2020,3,중식음식점,5105865,149955961806
2020,3,패스트푸드점,11342448,112204882524
2020,3,한식음식점,73812332,2250283976360
2020,4,양식음식점,6064485,235085458629
2020,4,일식음식점,4986379,191110636738
2020,4,중식음식점,5070789,152892231090
2020,4,패스트푸드점,10153191,103549862004
2020,4,한식음식점,69990770,2150277118176
2021,1,양식음식점,6677039,250178001641
2021,1,일식음식점,6012299,218872094586
2021,1,중식음식점,6691438,185929152648
2021,1,패스트푸드점,11745490,127155663356
2021,1,한식음식점,76533677,2328880982482
2021,2,양식음식점,7976322,304727975665
2021,2,일식음식점,7061795,257611148928
2021,2,중식음식점,7399177,208224579468
2021,2,패스트푸드점,13664701,141931723909
2021,2,한식음식점,89769991,2775598201583
2021,3,양식음식점,7098725,258895832662
2021,3,일식음식점,6454986,216906908222
2021,3,중식음식점,6759355,176569946785
2021,3,패스트푸드점,13678113,140866029681
2021,3,한식음식점,81672180,2328698787970
2021,4,양식음식점,8510077,354934096260
2021,4,일식음식점,7178138,285041063409
2021,4,중식음식점,7717180,229138604045
2021,4,패스트푸드점,13719633,147889686407
2021,4,한식음식점,91973012,3042490010320
2022,1,양식음식점,7201472,287900336676
2022,1,일식음식점,6084395,232080956045
2022,1,중식음식점,6843042,200849412970
2022,1,패스트푸드점,11908768,130199500253
2022,1,한식음식점,77259894,2516359242345
2022,2,양식음식점,9374042,393732459320
2022,2,일식음식점,7328823,294648244428
2022,2,중식음식점,7845096,254144420704
2022,2,패스트푸드점,14191659,151559510779
2022,2,한식음식점,95268040,3442557435129
2022,3,양식음식점,9222285,387519077698
2022,3,일식음식점,7182555,288069691310
2022,3,중식음식점,7923154,259217433124
2022,3,패스트푸드점,14892510,163387190975
2022,3,한식음식점,92759518,3356677544823
2022,4,양식음식점,9153239,404993582422
2022,4,일식음식점,7264223,315249608687
2022,4,중식음식점,8282442,284263959997
2022,4,패스트푸드점,13837779,157666113784
2022,4,한식음식점,96776538,3720642661779
2023,1,양식음식점,8657345,376008461769
2023,1,일식음식점,6991091,300961231948
2023,1,중식음식점,7671735,264525130619
2023,1,패스트푸드점,14087817,160891546960
2023,1,한식음식점,91338121,3509949788630
2023,2,양식음식점,9088867,376980478399
2023,2,일식음식점,7238851,296216915829
2023,2,중식음식점,7811298,256463381450
2023,2,패스트푸드점,13857540,159233143503
2023,2,한식음식점,95769019,3599764327356
2023,3,양식음식점,8730278,367862465118
2023,3,일식음식점,6952056,280682099470
2023,3,중식음식점,7662509,253648548421
2023,3,패스트푸드점,13770534,159544287107
2023,3,한식음식점,93627841,3532073220466
2023,4,양식음식점,8581069,393027207940
2023,4,일식음식점,6766642,287873047460
2023,4,중식음식점,7690381,264459610101
2023,4,패스트푸드점,13751089,162138331096
2023,4,한식음식점,96472558,3843301355891
2024,1,양식음식점,8012554,352022353400
2024,1,일식음식점,6374570,269516137497
2024,1,중식음식점,7406533,254430411643
2024,1,패스트푸드점,13275564,158158857095
2024,1,한식음식점,91944458,3616812825738
2024,2,양식음식점,8616471,355406031349
2024,2,일식음식점,6627174,268542949816
2024,2,중식음식점,7344203,247806737219
2024,2,패스트푸드점,14249631,163488351085
2024,2,한식음식점,96811648,3753866749092
2024,3,양식음식점,8088448,341059787109
2024,3,일식음식점,6340178,254823873763
2024,3,중식음식점,7107783,240932440724
2024,3,패스트푸드점,14086906,163793748234
2024,3,한식음식점,93097589,3609824681124
2024,4,양식음식점,7946077,383666686042
2024,4,일식음식점,6302425,275071312831
2024,4,중식음식점,7453734,266834840509
2024,4,패스트푸드점,13284938,160195262006
2024,4,한식음식점,98009852,3981051556387
